Estimate	Std. Error	df	t value	feature	p.value
5.60256423347615	2.12784289816931	1104.64287070879	2.6329783266877	chr1-1012746-1014644	0.00858212047982483
7.18087366367982	2.69332608483851	2198.39450837169	2.66617313963689	chr1-6961889-6964189	0.00772821361015167
5.10960777646707	2.4131130512242	1476.8946462022	2.1174340646307	chr1-10494109-10496534	0.0343897685813736
5.89635865002801	2.81154672930594	1240.78832213161	2.09719389991558	chr1-10793712-10796916	0.0361783742949868
4.89241732281611	2.19857839002135	1005.56541200936	2.22526399105042	chr1-11099119-11100668	0.0262846915329566
5.93199175545016	2.58945978870052	1464.75408051698	2.29082211715944	chr1-11663703-11665290	0.0221151842835644
4.80510737477688	1.86894998647858	2162.64260519138	2.5710197755642	chr1-11804778-11806818	0.0102062661189711
6.72544512605823	2.18450366487604	1147.68239001086	3.07870626824509	chr1-12166671-12167955	0.00212836928730858
11.8972071869394	4.13996750563802	1798.01714542244	2.87374409841072	chr1-19257072-19257923	0.00410402318010462
9.44864027793485	2.96057967825308	2205.58133792477	3.19148319072099	chr1-19643174-19645454	0.00143534975219567
5.01249278446373	2.20015135741703	49.0179097715717	2.27824907025868	chr1-23789932-23792538	0.0271074904872278
5.19670723768348	2.26426374997718	1919.35143978277	2.29509801485621	chr1-23799333-23801300	0.0218349375575779
6.0108079168017	2.75579720852796	153.485303534519	2.18115030315037	chr1-26771211-26772299	0.0306943464852566
4.92860752098968	2.22192244548395	613.19664654718	2.21817261489349	chr1-27829876-27831445	0.0269086480881413
8.48664814558279	2.57670680112692	1500.13687704331	3.29360257126312	chr1-27862642-27864563	0.001012162292843
5.92032199540666	2.12385810939705	1449.03114669765	2.78753178906448	chr1-27872117-27874009	0.00538047827326108
5.80881344624659	2.50478620205336	1543.95266181771	2.31908553372127	chr1-28886097-28888473	0.0205203667612642
4.32398810557125	1.83714764768109	1944.09247487776	2.35364213161046	chr1-32012821-32015116	0.0186895634711786
4.95130007114022	2.11771133638699	83.6922859595516	2.33804295517801	chr1-36187448-36188785	0.0217714335766256
